du_yugcontract_id,base_yugcontract_id,product_id,pictures_raw_count
7109372_du,7109372,17e4045e-a66d-403f-9fb7-c461fd09874b,1
7120201_du,7120201,8ee22be4-fe57-4913-8ece-ca386c14a7f3,2
7138500_du,7138500,05d38056-6260-4e96-bd47-2e045452d73a,15
7153553_du,7153553,eb3f31c5-83e0-4cc6-b125-b2fc65a18884,6
7163805_du,7163805,b932ba3f-afe0-4793-aad9-db5283bbd239,7
7169040_du,7169040,ebeeb021-d664-4631-9e7f-ea31192a72d6,4
7169071_du,7169071,71d5c218-596a-46e5-8d9c-8a571c9e02bc,4
7185654_du,7185654,b73293a9-29cb-48ee-8dbb-5553fb70a043,13
7193446_du,7193446,f1da589d-12ac-42f3-a545-9a3cda2646fc,1
7198084_du,7198084,443fed34-ed76-4d5c-989f-4f7c62719d49,8
7198085_du,7198085,fcb11d67-01f9-4f5b-97da-d5957da8146b,8
7200561_du,7200561,037d0a7f-2e0e-412a-96cb-cffa94702872,2
7204300_du,7204300,134a9643-4e2c-4a1a-bc62-6002f79932f4,16
7205163_du,7205163,0c186880-415f-4ca7-beb7-6a5107e78794,15
7220881_du,7220881,633ff3c0-cd27-4d62-b3e8-6f51a6a6012a,3
7220882_du,7220882,0ed60444-b270-4dec-937f-e58ce6adcfe1,6
7220896_du,7220896,65cfd144-0d78-47ee-bf6d-3080c563d808,6
7220910_du,7220910,872cc282-cbc7-41db-992a-3deface1798f,3
7220911_du,7220911,7a93df03-7dd3-421d-915b-e40c2d3c4d2f,7
7221668_du,7221668,4cd84b8e-8de3-42ec-b994-f89e04d945d7,3
7224534_du,7224534,44cb4ca2-ed0b-4297-adb5-3044c0d60446,16
7229839_du,7229839,5aec43c5-3fff-40da-b087-c01a0c501380,11
7232191_du,7232191,b4f20942-4be2-49ee-87f5-c7c326f38a6f,9
7232192_du,7232192,d5eb2363-ca59-4469-a1a1-4bfffe3deeb2,16
7240037_du,7240037,feedc968-40ed-4a67-a0bd-94b5c839adc5,6
7243919_du,7243919,b2bbfa69-1fa3-4cc1-af4b-3cdfa818a8a4,1
7246355_du,7246355,6e03d53c-5c3c-40fd-817f-85e839b37317,5
7248612_du,7248612,cb9ea3f0-4ef3-44db-8ed0-4d865c795284,8
7259030_du,7259030,2129c736-07b4-4871-99d3-70a19a11f89a,30
7262655_du,7262655,9c3e5544-c995-4b8c-8c3d-688322387de1,14
7264937_du,7264937,7dc9ab4d-2320-427a-a1fc-36f526578161,3
7269799_du,7269799,381508eb-67ef-4d56-8e56-37572af817ec,11
7270046_du,7270046,a1c94e52-4e31-4d56-825a-5da587174a2a,21
7270074_du,7270074,4467832d-4937-489b-b06f-5b0765889366,8
7278766_du,7278766,4acada94-8933-4015-ab87-e83c654dc2fb,9
7282004_du,7282004,89dd08a2-0d05-47f9-a8ed-f6de93df5b6f,14
7283135_du,7283135,2dca1863-00f7-4280-aae8-bc428c6cac32,7
7290718_du,7290718,ee3b607d-f6b8-43a1-ab5e-7d6bcd168f91,7
7290720_du,7290720,0bee88a8-4d0a-4e7f-a105-a2d3a101295c,8
7291169_du,7291169,a7ec11dd-5615-4dce-89d8-15749be65840,20
7297145_du,7297145,c3dd8e61-8f1e-4a29-b0cf-81516700e42c,11
